INFO 2026-06-21 16:32:27,840 pipeline 8720 20988 [ASSEMBLY_BARRIER_CREATED] record=1007711 expected=2
INFO 2026-06-21 16:32:27,845 models 8720 20988 [DUPLICATE_RUNTIME_PROBE] file=C:\108\AI-accounting-0.03\backend\ocr_pipeline\models.py id=1007711 writing validation_status='PENDING'
INFO 2026-06-21 16:32:27,851 extraction 8720 20988 [FANOUT_EXPECTED] record_id=1007711 expected_pages=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:27,851 extraction 8720 20988 [PAGE_FANOUT] record=1007711 pages=2
INFO 2026-06-21 16:32:27,851 extraction 8720 20988 [BATCH_PLAN] record=1007711 pages=2 batches=2 size=1
INFO 2026-06-21 16:32:40,750 extraction 8720 3212 [AI_PAYLOAD_VALID] record=1007711 page=1 item=None cid=None
INFO 2026-06-21 16:32:40,750 extraction 8720 3212 [AI_TASK_ENQUEUED] record=1007711 page=1 task=ai_1007711_1_1782039760 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:40,750 extraction 8720 3212 [AI_EXTRACTION_CALL] record=1007711 page=1 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:40,750 extraction 8720 3212 [PIPELINE_AI_ENQUEUE] record_id=1007711 queue=ai_requests
INFO 2026-06-21 16:32:40,750 extraction 8720 3212 [SQS_PUSH] record=1007711 page=1 queue=ai_requests
INFO 2026-06-21 16:32:40,750 message_factory 8720 3212 [CANONICAL_MESSAGE_EMITTED] task_type=AI_EXTRACTION ver=v1 corr=57013f2a-284f-4f63-9fb3-6ce31d5a4991 trace_id=trace-c8c8b93c50c8-1782039760 dedupe_key=dc3911ed7bb95acd7168522911b1e5d1c10cbf86f723242044dffb6c0e91b0c0 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:40,750 message_factory 8720 3212 [JOB_CONTEXT_PROPAGATED] task_type=AI_EXTRACTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:41,314 ai_proxy 8720 3212 [QUEUE_FORWARD_SUCCESS] target_queue=ai msg_id=2d0f34a2-acac-4577-a377-ec365c55469a record=1007711 job=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3
INFO 2026-06-21 16:32:41,314 ai_proxy 8720 3212 [AI_TASK_EMITTED] id=2d0f34a2-acac-4577-a377-ec365c55469a corr=57013f2a-284f-4f63-9fb3-6ce31d5a4991 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,315 extraction 8720 20988 [FANOUT_QUEUED] record_id=1007711 page_number=1 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,531 extraction 8720 1072 [AI_PAYLOAD_VALID] record=1007711 page=2 item=None cid=None
INFO 2026-06-21 16:32:41,531 extraction 8720 1072 [AI_TASK_ENQUEUED] record=1007711 page=2 task=ai_1007711_2_1782039761 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,531 extraction 8720 1072 [AI_EXTRACTION_CALL] record=1007711 page=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,531 extraction 8720 1072 [PIPELINE_AI_ENQUEUE] record_id=1007711 queue=ai_requests
INFO 2026-06-21 16:32:41,531 extraction 8720 1072 [SQS_PUSH] record=1007711 page=2 queue=ai_requests
INFO 2026-06-21 16:32:41,531 message_factory 8720 1072 [CANONICAL_MESSAGE_EMITTED] task_type=AI_EXTRACTION ver=v1 corr=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 trace_id=trace-17deb6634808-1782039761 dedupe_key=dc3911ed7bb95acd7168522911b1e5d1c10cbf86f723242044dffb6c0e91b0c0 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:41,531 message_factory 8720 1072 [JOB_CONTEXT_PROPAGATED] task_type=AI_EXTRACTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:41,867 ai_proxy 8720 1072 [QUEUE_FORWARD_SUCCESS] target_queue=ai msg_id=afab6996-07c6-4a38-8701-e53dfcb41870 record=1007711 job=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3
INFO 2026-06-21 16:32:41,868 ai_proxy 8720 1072 [AI_TASK_EMITTED] id=afab6996-07c6-4a38-8701-e53dfcb41870 corr=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,868 extraction 8720 20988 [FANOUT_QUEUED] record_id=1007711 page_number=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,875 extraction 8720 20988 [BOUNDED_FANOUT_SYNC] record=1007711 newly_enqueued=2
INFO 2026-06-21 16:32:41,875 extraction 8720 20988 [EXTRACTION_COMPLETE] pages=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 record=1007711 units=2
